Country Code,City,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes
162,Makati City,121.027535,14.565443,"French, Japanese, Desserts",1100,1,0,0,3,4.8,314
162,Makati City,121.014101,14.553708,Japanese,1200,1,0,0,3,4.5,591
162,Mandaluyong City,121.056831,14.581404,"Seafood, Asian, Filipino, Indian",4000,1,0,0,4,4.4,270
162,Mandaluyong City,121.056475,14.585318,"Japanese, Sushi",1500,0,0,0,4,4.9,365
162,Mandaluyong City,121.057508,14.58445,"Japanese, Korean",1500,1,0,0,4,4.8,229
162,Mandaluyong City,121.056314,14.583764,Chinese,1000,0,0,0,3,4.4,336
162,Pasay City,120.9796667,14.53133333,"Asian, European",2000,1,0,0,4,4.0,520
162,Pasay City,120.9793333,14.54,"Seafood, Filipino, Asian, European",2000,1,0,0,4,4.2,677
162,Pasay City,120.98009,14.55299,"European, Asian, Indian",6000,1,0,0,4,4.9,621
162,Pasig City,121.056532,14.572041,Filipino,1100,1,0,0,3,4.8,532
162,Pasig City,121.057916,14.567689,"Filipino, Mexican",800,0,0,0,3,4.9,1070
162,Pasig City,121.06082,14.570849,"American, Ice Cream, Desserts",900,1,0,0,3,4.2,488
162,Quezon City,121.075419,14.649503,"Filipino, Mexican",800,0,0,0,3,4.8,294
162,San Juan City,121.0335917,14.59345,Filipino,1000,1,0,0,3,4.2,458
162,San Juan City,121.03811,14.59889,Korean,700,0,0,0,3,4.3,223
162,Santa Rosa,121.05704,14.237082,"Cafe, American, Italian, Filipino",800,0,0,0,3,3.6,29
162,Santa Rosa,121.0565874,14.23767897,"Italian, Pizza",850,0,0,0,3,4.0,72
162,Tagaytay City,120.951589,14.101834,Filipino,1200,1,0,0,3,4.5,211
162,Taguig City,121.045878,14.55436,"Cafe, Korean, Desserts",600,0,0,0,2,4.5,118
162,Taguig City,121.04622,14.549337,"Cafe, Bakery, American, Italian",1500,1,0,0,4,4.4,392
162,Taguig City,121.053725,14.545858,"Seafood, American, Mediterranean, Japanese",3000,1,0,0,4,4.7,535
162,Taguig City,121.0534998,14.54565535,"American, Asian, Italian, Seafood",1800,1,0,0,4,4.5,618
30,Bras�_lia,-47.88178889,-15.76414167,"Fast Food, French",55,0,0,0,2,3.0,6
30,Bras�_lia,-47.88266667,-15.7775,Cafe,30,0,0,0,1,3.8,9
30,Bras�_lia,-47.88213611,-15.75747222,Bakery,45,0,0,0,2,3.7,11
30,Bras�_lia,-47.88816667,-15.75883333,Brazilian,60,0,0,0,3,3.8,11
30,Bras�_lia,-47.91566667,-15.83116667,Pizza,50,0,0,0,2,3.2,11
30,Bras�_lia,-47.91566667,-15.831,Japanese,80,0,0,0,3,3.1,10
30,Bras�_lia,-47.9075,-15.82,Arabian,90,0,0,0,3,3.7,8
30,Bras�_lia,-47.91016667,-15.82733333,Japanese,200,0,0,0,4,3.7,5
30,Bras�_lia,-47.92366667,-15.83133333,Italian,150,0,0,0,4,4.1,12
30,Bras�_lia,-48.019,-15.83716667,Pizza,100,0,0,0,4,3.1,9
30,Bras�_lia,-48.01909167,-15.839775,"Bar Food, Brazilian",60,0,0,0,3,3.6,9
30,Bras�_lia,-48.01666667,-15.83483333,"Mexican, Grill",100,0,0,0,4,4.3,29
30,Bras�_lia,-47.889,-15.7865,International,230,0,0,0,4,4.2,17
30,Bras�_lia,-47.872359,-15.860621,"Peruvian, Latin American",100,0,0,0,4,3.6,5
30,Bras�_lia,-47.95628333,-15.83451389,"American, Grill",150,0,0,0,4,4.0,10
30,Bras�_lia,-47.87283333,-15.82566667,Seafood,240,0,0,0,4,3.2,6
30,Bras�_lia,-47.8685,-15.819,International,230,0,0,0,4,4.9,30
30,Bras�_lia,-47.885812,-15.720118,Italian,350,0,0,0,4,3.3,8
30,Bras�_lia,-47.92102778,-15.79753056,"American, Burger",50,0,0,0,2,3.6,9
30,Rio de Janeiro,-43.377,-23.0115,"Seafood, Bar Food, Brazilian",140,0,0,0,4,4.0,7
30,Rio de Janeiro,-43.178826,-22.905293,"Desserts, Cafe",100,0,0,0,4,4.8,29
30,Rio de Janeiro,-43.18669167,-22.97207222,"Juices, Healthy Food",60,0,0,0,3,4.7,24
30,Rio de Janeiro,-43.17583333,-22.96216667,"Beverages, Bar Food, Fast Food",90,0,0,0,3,4.5,29
30,Rio de Janeiro,-43.176,-22.96516667,Lebanese,170,0,0,0,4,4.2,11
30,Rio de Janeiro,-43.191,-22.98683333,Burger,60,0,0,0,3,4.8,19
30,Rio de Janeiro,-43.227042,-22.973507,"Brazilian, Bar Food",100,0,0,0,4,4.9,40
30,Rio de Janeiro,-43.211425,-22.98520833,"Brazilian, Healthy Food, Juices, Pizza",90,0,0,0,3,4.6,21
30,Rio de Janeiro,-43.203,-22.98533333,"Brazilian, Bar Food",120,0,0,0,4,4.9,49
